 ENSG00000223972.4	gene_id "ENSG00000223972.4"	 transcript_id "ENSG00000223972.4"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "DDX11L1"	 transcript_type "pseudogene"	 transcript_status "KNOWN"
 ENSG00000223972.4	gene_id "ENSG00000223972.4"	 transcript_id "ENST00000456328.2"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "DDX11L1"	 transcript_type "processed_transcript"	 transcript_status "KNOWN"
 ENSG00000223972.4	gene_id "ENSG00000223972.4"	 transcript_id "ENST00000515242.2"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "DDX11L1"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000223972.4	gene_id "ENSG00000223972.4"	 transcript_id "ENST00000518655.2"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "DDX11L1"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000223972.4	gene_id "ENSG00000223972.4"	 transcript_id "ENST00000450305.2"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "DDX11L1"	 transcript_type "transcribed_unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENSG00000227232.3"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000438504.2"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000541675.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000423562.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000488147.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000538476.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000537342.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000227232.3	gene_id "ENSG00000227232.3"	 transcript_id "ENST00000430492.2"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "WASH7P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000243485.1	gene_id "ENSG00000243485.1"	 transcript_id "ENSG00000243485.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "MIR1302-10"	 transcript_type "lincRNA"	 transcript_status "NOVEL"
 ENSG00000243485.1	gene_id "ENSG00000243485.1"	 transcript_id "ENST00000473358.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "MIR1302-10"	 transcript_type "lincRNA"	 transcript_status "KNOWN"
 ENSG00000243485.1	gene_id "ENSG00000243485.1"	 transcript_id "ENST00000469289.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "MIR1302-10"	 transcript_type "lincRNA"	 transcript_status "KNOWN"
 ENSG00000221311.1	gene_id "ENSG00000221311.1"	 transcript_id "ENSG00000221311.1"	 gene_type "miRNA"	 gene_status "KNOWN"	 gene_name "MIR1302-10"	 transcript_type "miRNA"	 transcript_status "KNOWN"
 ENSG00000221311.1	gene_id "ENSG00000221311.1"	 transcript_id "ENST00000408384.1"	 gene_type "miRNA"	 gene_status "KNOWN"	 gene_name "MIR1302-10"	 transcript_type "miRNA"	 transcript_status "KNOWN"
 ENSG00000237613.2	gene_id "ENSG00000237613.2"	 transcript_id "ENSG00000237613.2"	 gene_type "protein_coding"	 gene_status "KNOWN"	 gene_name "FAM138A"	 transcript_type "protein_coding"	 transcript_status "KNOWN"
 ENSG00000237613.2	gene_id "ENSG00000237613.2"	 transcript_id "ENST00000417324.1"	 gene_type "protein_coding"	 gene_status "KNOWN"	 gene_name "FAM138A"	 transcript_type "protein_coding"	 transcript_status "KNOWN"
 ENSG00000237613.2	gene_id "ENSG00000237613.2"	 transcript_id "ENST00000461467.1"	 gene_type "protein_coding"	 gene_status "KNOWN"	 gene_name "FAM138A"	 transcript_type "processed_transcript"	 transcript_status "KNOWN"
 ENSG00000268020.1	gene_id "ENSG00000268020.1"	 transcript_id "ENSG00000268020.1"	 gene_type "protein_coding"	 gene_status "NOVEL"	 gene_name "AL627309.1"	 transcript_type "protein_coding"	 transcript_status "NOVEL"
 ENSG00000268020.1	gene_id "ENSG00000268020.1"	 transcript_id "ENST00000594647.1"	 gene_type "protein_coding"	 gene_status "NOVEL"	 gene_name "AL627309.1"	 transcript_type "protein_coding"	 transcript_status "NOVEL"
 ENSG00000240361.1	gene_id "ENSG00000240361.1"	 transcript_id "ENSG00000240361.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "OR4G11P"	 transcript_type "pseudogene"	 transcript_status "KNOWN"
 ENSG00000240361.1	gene_id "ENSG00000240361.1"	 transcript_id "ENST00000492842.1"	 gene_type "pseudogene"	 gene_status "KNOWN"	 gene_name "OR4G11P"	 transcript_type "unprocessed_pseudogene"	 transcript_status "KNOWN"
 ENSG00000186092.4	gene_id "ENSG00000186092.4"	 transcript_id "ENSG00000186092.4"	 gene_type "protein_coding"	 gene_status "KNOWN"	 gene_name "OR4F5"	 transcript_type "protein_coding"	 transcript_status "KNOWN"
 ENSG00000186092.4	gene_id "ENSG00000186092.4"	 transcript_id "ENST00000335137.3"	 gene_type "protein_coding"	 gene_status "KNOWN"	 gene_name "OR4F5"	 transcript_type "protein_coding"	 transcript_status "KNOWN"
 ENSG00000238009.2	gene_id "ENSG00000238009.2"	 transcript_id "ENSG00000238009.2"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "RP11-34P13.7"	 transcript_type "lincRNA"	 transcript_status "NOVEL"
 ENSG00000238009.2	gene_id "ENSG00000238009.2"	 transcript_id "ENST00000466430.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "RP11-34P13.7"	 transcript_type "lincRNA"	 transcript_status "KNOWN"
 ENSG00000238009.2	gene_id "ENSG00000238009.2"	 transcript_id "ENST00000477740.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "RP11-34P13.7"	 transcript_type "lincRNA"	 transcript_status "KNOWN"
 ENSG00000238009.2	gene_id "ENSG00000238009.2"	 transcript_id "ENST00000471248.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "RP11-34P13.7"	 transcript_type "lincRNA"	 transcript_status "KNOWN"
 ENSG00000238009.2	gene_id "ENSG00000238009.2"	 transcript_id "ENST00000453576.2"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "RP11-34P13.7"	 transcript_type "lincRNA"	 transcript_status "KNOWN"
 ENSG00000239945.1	gene_id "ENSG00000239945.1"	 transcript_id "ENSG00000239945.1"	 gene_type "lincRNA"	 gene_status "NOVEL"	 gene_name "RP11-34P13.8"	 transcript_type "lincRNA"	 transcript_status "NOVEL"
